國文,數學,英文
95,66,62
91,99,84
80,75,51
54,92,98
68,78,79
57,61,74
53,60,95
54,57,59
65,77,82
79,67,77
69,86,82
74,61,84
96,52,69
80,70,69
97,52,68
75,56,87
97,96,78
54,84,67
89,86,89
83,63,81
85,89,52
54,91,63
75,61,73
72,60,99
52,75,89
99,75,71
81,59,56
71,74,54
69,74,79
99,51,72
54,51,62
52,66,85
82,70,83
51,77,84
82,57,60
98,83,89
93,81,92
94,74,85
69,97,89
81,57,52
85,99,58
56,83,92
85,50,89
55,66,86
80,50,68
69,98,83
62,89,56
78,70,63
81,61,68
90,66,54
